t_s,theta_deg,alpha_deg,alpha_raw_deg,pwm,mode
0.606271,-107.4023,107.7539,-252.2461,0,0
0.608270,-107.4023,107.5781,-252.4219,0,0
0.610266,-107.4023,107.5781,-252.4219,0,0
0.612262,-107.4023,107.5781,-252.4219,0,0
0.614261,-107.5781,107.4023,-252.5977,0,0
0.616261,-107.5781,107.4023,-252.5977,0,0
0.618261,-107.5781,107.5781,-252.4219,0,0
0.620261,-107.5781,107.5781,-252.4219,0,0
0.622261,-107.5781,107.5781,-252.4219,0,0
0.624261,-107.5781,107.7539,-252.2461,0,0
0.626261,-107.5781,107.9297,-252.0703,0,0
0.628261,-107.5781,108.1055,-251.8945,0,0
0.630261,-107.5781,108.2812,-251.7188,0,0
0.632261,-107.5781,108.4570,-251.5430,0,0
0.634261,-107.5781,108.8086,-251.1914,0,0
0.636261,-107.5781,108.9844,-251.0156,0,0
0.638261,-107.5781,109.3359,-250.6641,0,0
0.640300,-107.5781,109.6875,-250.3125,0,0
0.642337,-107.5781,110.0391,-249.9609,0,0
0.644335,-107.5781,110.3906,-249.6094,0,0
0.646330,-107.5781,110.9180,-249.0820,0,0
0.648261,-107.4023,111.2695,-248.7305,0,0
0.650261,-107.4023,111.7969,-248.2031,0,0
0.652301,-107.4023,112.3242,-247.6758,0,0
0.654297,-107.4023,112.8516,-247.1484,0,0
0.656294,-107.4023,113.3789,-246.6211,0,0
0.658294,-107.4023,113.9062,-246.0938,0,0
0.660309,-107.2266,114.6094,-245.3906,0,0
0.662304,-107.2266,115.1367,-244.8633,0,0
0.664301,-107.2266,115.8398,-244.1602,0,0
0.666297,-107.2266,116.5430,-243.4570,0,0
0.668297,-107.2266,117.2461,-242.7539,0,0
0.670312,-107.0508,117.9492,-242.0508,0,0
0.672311,-107.0508,118.8281,-241.1719,0,0
0.674295,-107.0508,119.5312,-240.4688,0,0
0.679072,-106.8750,121.6406,-238.3594,0,0
0.679348,-106.8750,121.8164,-238.1836,0,0
0.680309,-106.8750,122.1680,-237.8320,0,0
0.682304,-106.8750,123.0469,-236.9531,0,0
0.684301,-106.8750,124.1016,-235.8984,0,0
0.686297,-106.8750,124.9805,-235.0195,0,0
0.688294,-106.8750,126.0352,-233.9648,0,0
