t,th_deg,al_deg,pwm,i_ma,mode
20.8081,-28.83,-331.7,0,3.1,4
20.889,-32.34,-343.48,0,3.4,4
20.9522,-33.75,-352.44,0,2.9,4
21.0413,-29.88,-5.1,-47,10.5,5
21.1029,-23.03,-15.64,-49,10.5,5
21.1685,-11.78,-24.43,-49,14.4,5
21.222,-2.99,-24.26,-49,14.4,5
21.2897,-4.22,-26.72,-39,16.7,5
21.359,-2.11,-27.77,49,4.5,5
21.4174,-3.69,-26.54,49,4.5,5
21.4761,-7.21,-20.21,49,46.5,5
21.531,-13.54,-10.55,0,46.5,5
21.602,-16.7,-4.04,-49,3.1,5
21.6611,-11.07,-4.04,-49,15.1,5
21.7223,-1.93,-4.04,-49,15.1,5
21.7764,13.01,-11.43,-5,14.2,5
21.8549,14.77,-11.25,49,43.1,5
21.9345,4.57,-3.87,49,43.1,5
22.0076,-20.39,14.59,12,42.6,5
22.0908,-21.8,19.69,-49,4.3,5
22.2067,-9.84,16.88,-49,13.9,5
22.2809,3.34,12.13,-28,15.2,5
22.3344,10.2,3.69,49,44.9,5
22.3925,10.72,-0.53,49,44.9,5
22.4527,3.52,3.87,49,43.3,5
22.5272,-14.94,17.05,0,43.3,5
22.6045,-19.86,22.68,-49,3.4,5
22.6715,-14.41,21.45,-49,14.9,5
22.7273,-11.25,17.75,-49,14.9,5
22.7821,-8.61,17.93,-49,15.2,5
22.841,-5.98,17.93,21,4.9,5
22.8963,-7.91,17.75,49,4.9,5
22.9531,-19.34,27.07,49,42.0,5
23.0164,-27.95,34.28,-22,42.0,5
23.069,-26.89,33.75,-49,12.3,5
23.1297,-25.66,33.4,-49,12.3,5
23.2044,-25.84,32.34,-49,16.4,5
23.265,-26.72,30.94,-49,16.3,5
23.3498,-29.0,27.95,-48,16.3,5
23.4207,-34.98,25.84,13,9.2,5
23.4842,-40.96,27.42,-18,3.9,5
23.5432,-43.77,27.42,-47,12.5,5
23.6147,-40.96,17.58,-47,12.5,5
23.6802,-30.94,4.22,-48,13.0,5
23.7406,-14.94,-6.86,-49,13.2,5
23.798,-1.58,-8.44,-20,13.2,5
23.8578,0.88,-8.96,49,37.8,5
23.9133,-4.57,-4.04,49,37.8,5
23.9902,-14.24,0.88,49,42.8,5
24.0781,-29.0,23.2,-48,5.1,5
24.1374,-29.18,27.6,-48,5.1,5
24.1983,-24.08,24.08,-49,13.2,5
24.2639,-17.4,15.64,-49,14.1,5
24.3279,-7.03,14.41,6,14.1,5
24.3917,0.18,10.2,50,7.3,5
24.4606,-0.7,10.37,49,43.3,5
24.5331,-9.14,14.41,14,43.3,5
24.6246,-13.18,18.46,-49,3.9,5
24.6837,-5.8,18.46,-49,14.5,5
24.7545,6.86,12.83,-49,13.8,5
24.8208,10.9,10.2,47,13.8,5
24.8816,5.45,14.77,49,43.2,5
24.9431,-4.04,22.5,49,43.2,5
25.0024,-19.16,34.1,22,44.7,5
25.0628,-30.94,46.41,-48,16.4,5
25.1375,-24.79,43.07,-49,16.4,5
25.2142,-14.94,40.25,-49,14.6,5
25.2697,-7.56,40.43,-49,14.2,5
25.3368,2.64,32.17,38,14.2,5
25.436,6.5,28.3,49,45.7,5
25.504,-2.29,33.4,49,43.6,5
25.5724,-13.89,38.5,-49,3.5,5
25.6414,-17.58,42.54,-49,3.5,5
25.7174,-11.6,40.96,-49,15.6,5
25.7759,-1.41,39.9,-49,14.4,5
25.8296,10.9,27.95,49,14.4,5
25.9011,13.54,27.42,49,46.0,5
25.9605,9.32,30.23,49,43.1,5
26.0183,0.35,36.56,49,43.1,5
26.0764,-8.96,42.54,-48,3.9,5
26.1477,-12.66,45.53,-49,3.9,5
26.2149,-7.73,45.18,-49,15.3,5
26.2774,4.57,37.09,-37,14.7,5
26.3331,12.3,33.22,49,14.7,5
26.3906,13.89,32.52,49,45.4,5
26.4482,10.2,35.33,49,43.5,5
26.5117,1.23,42.19,49,43.5,5
