time_s;mode;position_deg;setpoint_deg;pend_position_deg;pwm;voltage_v;current_mA;power_mW
24.0;0;-17.227;0;-44.473;0;;27.2;406
24.2;0;1.406;0;3.164;0;;28.6;404
24.3;0;13.008;0;41.133;0;;26.9;404
24.4;0;-2.461;0;16.699;0;;26.6;400
24.5;0;-30.41;0;-33.047;0;;27;404
24.7;0;-31.113;0;-26.895;0;;27.5;412
24.7;0;-11.25;0;23.379;0;;26.4;396
24.8;0;-10.723;0;34.102;0;;26.8;400
24.9;0;-31.816;0;-6.855;0;;27.1;406
25.1;0;-42.539;0;-31.113;0;;27;404
25.1;0;-27.07;0;-0.527;0;;26.5;396
25.2;0;-12.129;0;30.586;0;;27;404
25.2;0;-19.687;0;10.898;0;;26.7;400
25.3;0;-33.926;0;-24.785;0;;27.5;412
25.5;0;-25.664;0;-14.238;0;;27.4;410
25.6;0;-6.504;0;20.391;0;;27.1;406
25.8;0;-7.207;0;16.348;0;;26.8;400
26.0;0;-21.621;0;-16.523;0;;27.9;416
26.2;0;-20.039;0;-17.227;0;;27.5;412
26.4;0;-5.098;0;12.129;0;;26.8;404
26.5;0;-4.219;0;15.82;0;;27.2;406
26.6;0;-17.578;0;-9.844;0;;27;404
26.7;0;-20.215;0;-14.766;0;;26.7;400
26.7;0;-9.844;0;7.91;0;;27.1;406
26.8;0;-9.141;0;13.535;0;;27.2;406
26.9;0;-19.863;0;-5.625;0;;27;404
26.9;0;-22.676;0;-10.898;0;;27.4;410
27.0;0;-14.238;0;5.977;0;;27.3;410
27.0;0;-13.008;0;10.195;0;;27;404
27.1;0;-20.215;0;-4.043;0;;27.2;406
27.2;0;-20.742;0;-7.559;0;;27.3;410
27.3;0;-14.063;0;4.395;0;;27.6;412
27.4;0;-12.832;0;6.328;0;;28;420
27.4;0;-17.402;0;-3.34;0;;29.2;436
27.5;0;-17.051;0;-4.57;0;;22.1;330
27.6;0;-12.832;0;2.813;0;;27.2;406
27.6;0;-13.008;0;3.34;0;;26.3;394
27.7;0;-15.82;0;-1.758;0;;26.9;404
27.8;0;-15.469;0;-1.758;0;;27.1;406
27.8;0;-14.238;0;1.23;0;;27;404
28.0;0;-14.59;0;1.406;0;;26.9;404
28.2;0;-15.293;0;0.352;0;;26.9;404
28.3;0;-15.293;0;-0.352;0;;26.7;400
28.4;0;-15.293;0;-0.352;0;;27.1;406
28.6;0;-15.117;0;0.176;0;;26.6;400
28.9;0;-15.117;0;0.703;0;;26.7;400
29.0;0;-15.117;0;0.703;0;;27;404
29.0;0;-15.117;0;0.176;0;;26.6;400
29.1;0;-15.117;0;-0.352;0;;27;404
29.2;0;-15.117;0;0;0;;26.9;404
29.2;0;-15.117;0;0.352;0;;27;404
29.3;0;-15.117;0;0.703;0;;27.4;410
29.5;0;-15.117;0;0.527;0;;26.8;400
29.6;0;-15.117;0;0;0;;27.2;406
29.7;0;-15.117;0;-0.176;0;;26.9;404
29.8;0;-15.117;0;0;0;;26.9;404
29.9;0;-15.117;0;0.352;0;;27.1;406
29.9;0;-15.117;0;0.527;0;;27.1;406
30.0;0;-15.117;0;0.352;0;;26.9;404
30.2;0;-15.117;0;0;0;;26.9;404
30.3;0;-15.117;0;0;0;;27.3;410
30.4;0;-15.117;0;0.176;0;;27.2;406
30.5;0;-15.117;0;0.352;0;;27.1;406
30.6;0;-15.117;0;0.527;0;;27;404
30.6;0;-15.117;0;0.176;0;;27.3;410
30.8;0;-15.117;0;0;0;;27.1;406
30.9;0;-15.117;0;0;0;;26.9;404
30.9;0;-15.117;0;0.176;0;;25.5;384
31.1;0;-15.117;0;0.352;0;;27.4;410
31.2;0;-15.117;0;0.352;0;;26.8;400
31.3;0;-15.117;0;0.176;0;;27.2;406
31.3;0;-15.117;0;0.176;0;;27.1;400
31.4;0;-15.117;0;0.176;0;;27.1;406
31.5;0;-15.117;0;0.176;0;;26.9;404
31.5;0;-15.117;0;0.352;0;;27.2;406
31.7;0;-15.117;0;0.176;0;;23.9;358
31.8;0;-15.117;0;0.176;0;;27.2;406
31.9;0;-15.117;0;0.176;0;;24.4;364
32.0;0;-15.117;0;0.176;0;;27.1;406
32.1;0;-15.117;0;0.176;0;;27.2;406
32.2;0;-15.117;0;0.176;0;;27.1;406
32.3;0;-15.117;0;0.176;0;;27.2;406
32.4;0;-15.117;0;0.176;0;;27;404
32.4;0;-15.117;0;0.176;0;;26.8;404
32.6;0;-15.117;0;0.176;0;;26.9;404
32.6;0;-15.117;0;0.176;0;;30;448
32.7;0;-15.117;0;0.176;0;;26;390
32.8;0;-15.117;0;0.176;0;;26.8;404
32.9;0;-15.117;0;0.176;0;;28.5;426
32.9;0;-15.117;0;0.176;0;;27.1;406
33.0;0;-15.117;0;0.176;0;;27.2;406
33.0;0;-15.117;0;0.176;0;;26.8;404
33.1;0;-15.117;0;0.176;0;;27;404
33.1;0;-15.117;0;0.176;0;;27.5;412
33.2;0;-15.117;0;0.176;0;;27.3;410
33.3;0;-15.117;0;0.176;0;;27.1;406
33.5;0;-15.117;0;0.176;0;;26.9;404
33.6;0;-15.117;0;0.176;0;;27.5;412
33.6;0;-15.117;0;0.176;0;;26.9;404
33.7;0;-15.117;0;0.176;0;;26.9;404
33.8;0;-15.117;0;0.176;0;;26.9;404
33.9;0;-15.117;0;0.176;0;;27.2;406
34.0;0;-15.117;0;0.176;0;;26.9;404
34.1;0;-15.117;0;0.176;0;;27.2;406
34.3;0;-15.117;0;0.176;0;;27;404
34.3;5;-17.93;0;-2.637;50;;73.7;1092
34.4;5;-29.883;0;-10.898;50;;74;1094
34.6;5;-27.422;0;6.328;-50;;67.3;1000
34.8;5;-15.82;0;26.016;-50;;68.1;1010
35.0;5;-25.84;0;0;50;;72.4;1072
35.2;5;-44.824;0;-34.102;50;;74.5;1104
35.3;5;-38.848;0;-12.129;-50;;65.8;976
35.4;5;-13.008;0;39.551;-50;;67.3;1000
35.4;5;-7.207;0;37.969;50;;74.8;1108
35.5;5;-34.629;0;-26.191;50;;71.9;1064
35.5;5;-47.812;0;-55.723;50;;75.3;1114
35.6;5;-36.035;0;-15.293;-50;;64.1;950
35.7;5;-5.098;0;54.844;-50;;67.8;1006
35.8;5;1.23;0;58.711;50;;76;1124
35.8;5;-26.543;0;-12.832;50;;72.1;1068
36.0;5;-48.867;0;-70.312;50;;74.2;1098
36.1;5;-50.625;0;-55.723;-50;;63.1;934
36.2;5;-13.184;0;33.047;-50;;64.7;960
36.4;5;1.582;0;80.684;-50;;68.5;1016
36.4;5;1.582;0;57.305;50;;74.3;1102
36.6;5;-40.605;0;-39.727;50;;70.1;1038
36.7;5;-55.723;0;-87.539;50;;74.3;1102
