attempt,t,pend_deg,mode,pwm,v_bus
3,25.957,74.88,4,-41,15.008
3,26.271,74.88,4,-41,15.004
3,26.573,74.88,4,-41,15.004
3,26.895,74.88,4,-41,15.008
3,27.137,74.88,4,-41,15.008
3,27.389,74.88,4,-41,15.008
3,27.707,74.88,4,-41,15.004
3,27.934,74.88,4,-41,15.004
3,28.164,74.88,4,-41,15.004
3,28.436,74.88,4,-41,15.008
3,28.738,74.88,4,-41,15.004
3,28.985,74.88,4,-41,15.004
3,29.248,74.88,4,-41,15.008
3,29.646,74.88,4,-41,15.004
3,29.952,74.88,4,-41,15.000
4,0.031,1.76,5,-59,15.016
4,0.270,-27.25,5,-56,14.864
4,0.518,50.10,5,59,14.720
4,0.756,-54.14,5,-54,14.920
4,0.992,75.94,5,-4,14.792
4,1.227,-90.18,5,58,14.920
4,1.459,6.50,5,-58,14.896
4,1.738,94.75,5,59,14.724
4,1.969,-119.36,5,-46,14.988
4,2.245,-0.53,5,41,14.928
4,2.473,132.89,5,58,14.724
4,2.712,-46.93,5,48,14.780
4,2.961,-148.01,4,20,15.016
4,3.194,46.58,4,21,15.020
4,3.419,151.52,4,56,14.768
4,3.649,-0.35,4,39,14.980
4,3.887,-27.77,4,19,15.016
4,4.117,34.28,4,58,14.748
4,4.346,-74.18,4,42,14.940
4,4.587,80.68,4,42,14.940
4,4.821,-5.98,4,35,14.992
4,5.053,3.34,4,20,15.016
4,5.288,-31.82,4,50,14.836
4,5.522,30.76,4,22,15.016
4,5.752,-28.30,4,39,14.968
4,5.984,17.93,4,15,15.016
4,6.245,8.96,4,34,14.996
4,6.485,-0.18,4,18,15.020
4,6.710,-20.57,4,46,14.884
4,6.964,29.36,4,20,15.020
4,7.189,-30.06,4,37,14.980
4,7.474,49.04,4,38,15.008
4,7.698,-3.69,4,15,15.016
4,7.936,-1.93,4,20,15.016
4,8.166,-1.93,4,22,15.020
4,8.389,-1.93,4,22,15.016
4,8.616,-2.99,4,21,15.016
4,8.852,0.00,4,18,15.020
4,9.082,0.00,4,15,15.020
4,9.311,14.59,4,34,15.000
4,9.547,-4.57,4,14,15.020
4,9.780,-0.88,4,16,15.008
4,10.016,2.81,4,40,14.952
4,10.242,2.64,4,39,14.960
4,10.475,3.87,4,37,14.980
4,10.745,2.11,4,35,14.988
4,10.977,2.81,4,35,14.992
4,11.270,2.29,4,35,14.984
4,11.496,0.70,4,35,14.992
4,11.738,2.46,4,35,14.972
4,11.978,1.58,4,35,14.996
4,12.208,1.93,4,35,14.992
4,12.448,1.41,4,35,14.988
4,12.700,1.93,4,35,14.992
4,12.934,1.58,4,35,14.992
4,13.163,1.76,4,35,14.992
4,13.387,1.76,4,35,14.988
4,13.611,1.58,4,35,14.988
4,13.845,1.76,4,35,14.988
4,14.083,1.76,4,35,14.988
4,14.349,1.76,4,35,14.988
4,14.589,1.76,4,35,14.988
4,14.843,1.76,4,35,14.992
4,15.089,1.76,4,35,14.996
4,15.360,1.58,4,35,15.000
4,15.588,1.76,4,35,14.992
4,15.849,1.76,4,35,14.984
4,16.075,1.58,4,35,14.996
4,16.304,1.76,4,35,14.996
4,16.537,1.76,4,35,14.996
4,16.799,1.58,4,35,14.996
4,17.032,1.76,4,35,14.996
4,17.261,1.76,4,35,15.000
4,17.506,1.76,4,35,14.992
4,17.742,1.76,4,35,14.996
4,17.973,1.76,4,35,14.996
4,18.230,1.76,4,35,14.996
4,18.453,1.76,4,35,14.996
4,18.700,1.76,4,35,15.000
4,18.928,1.76,4,35,14.996
4,19.156,1.76,4,35,14.996
4,19.399,1.76,4,35,14.996
4,19.654,1.76,4,35,14.980
4,19.964,1.76,4,35,15.000
4,20.282,1.76,4,35,15.000
4,20.581,1.58,4,35,14.996
4,20.895,1.76,4,35,14.996
4,21.130,1.76,4,35,14.996
4,21.399,1.76,4,35,14.996
4,21.714,1.76,4,35,14.996
4,21.948,1.76,4,35,14.992
4,22.244,1.58,4,35,14.996
4,22.533,1.58,4,35,14.988
4,22.765,1.93,4,35,14.992
4,23.008,1.58,4,35,14.992
4,23.364,1.76,4,35,14.996
4,23.651,1.58,4,35,14.988
