sp,attempt,t,pend_deg,mode,pwm,v_bus
60,2,18.123,-1.23,4,-46,14.984
60,2,18.349,-1.23,4,-46,14.984
60,2,18.577,-1.23,4,-46,14.980
60,2,18.830,-1.23,4,-46,14.984
60,2,19.059,-1.23,4,-46,14.988
60,2,19.284,-1.23,4,-46,14.984
60,2,19.546,-1.23,4,-46,14.984
60,2,19.773,-1.23,4,-46,14.984
60,2,19.999,-1.23,4,-46,14.984
60,2,20.241,-1.23,4,-46,14.984
60,2,20.476,-1.23,4,-46,14.988
60,2,20.710,-1.23,4,-46,14.984
60,2,20.942,-1.05,4,-46,14.988
60,2,21.167,-1.23,4,-46,14.988
60,2,21.420,-1.23,4,-46,14.988
60,2,21.650,-1.23,4,-46,14.980
60,2,21.879,-1.23,4,-46,14.988
60,2,22.107,-1.23,4,-46,14.988
60,2,22.353,-1.23,4,-46,14.988
60,2,22.599,-1.23,4,-46,14.984
60,2,22.837,-1.23,4,-46,14.988
60,2,23.060,-1.23,4,-46,14.988
60,2,23.305,-1.23,4,-46,14.988
60,2,23.550,-1.23,4,-46,14.988
60,2,23.825,-1.23,4,-46,14.984
60,2,24.052,-1.23,4,-46,14.988
60,2,24.285,-1.23,4,-46,14.984
60,2,24.520,-1.23,4,-46,14.984
60,2,24.753,-1.23,4,-46,14.984
60,2,24.984,-1.23,4,-46,14.984
60,2,25.236,-1.23,4,-46,14.988
60,2,25.462,-1.05,4,-46,14.988
60,2,25.703,-1.23,4,-46,14.984
60,2,25.932,-1.23,4,-46,14.984
60,2,26.182,-1.05,4,-46,14.984
60,2,26.430,-1.41,4,-46,14.992
60,2,26.683,-0.88,4,-46,14.992
60,2,26.908,-1.23,4,-46,14.988
60,2,27.134,-1.23,4,-46,14.984
60,2,27.424,-1.05,4,-46,14.992
60,2,27.673,-1.05,4,-46,14.988
60,2,27.907,-1.05,4,-46,14.988
60,2,28.149,-1.05,4,-46,14.992
60,2,28.398,-1.05,4,-46,14.992
60,2,28.644,-1.23,4,-46,14.984
60,2,28.866,-1.23,4,-46,14.988
60,2,29.092,-1.23,4,-46,14.984
60,2,29.330,-1.05,4,-46,14.988
60,2,29.562,-1.23,4,-46,14.992
60,2,29.785,-1.05,4,-46,14.992
60,2,30.022,-1.23,4,-46,14.984
60,3,0.024,-3.34,5,-59,14.856
60,3,0.253,10.02,5,37,14.744
60,3,0.475,-53.26,5,-59,14.848
60,3,0.722,73.48,5,55,14.776
60,3,0.951,-96.33,5,59,14.736
60,3,1.187,24.08,5,-59,14.884
60,3,1.415,103.18,5,59,14.704
60,3,1.647,-118.12,5,22,15.016
60,3,1.881,-120.06,4,23,15.008
60,3,2.131,114.78,4,24,15.016
60,3,2.362,63.63,4,69,14.604
60,3,2.584,-147.13,4,50,14.840
60,3,2.816,-238.36,4,49,14.836
60,3,3.047,-94.22,5,-48,14.992
60,3,3.303,12.83,5,52,14.944
60,3,3.538,-15.64,5,51,14.868
60,3,3.781,-73.48,5,-59,14.836
60,3,4.023,111.44,5,59,14.716
60,3,4.248,-67.50,5,19,15.016
60,3,4.473,-113.38,5,-54,14.916
60,3,4.700,110.57,5,-59,14.856
60,3,4.924,91.58,5,52,14.788
60,3,5.156,-143.61,5,59,14.728
60,3,5.386,-107.58,4,23,15.016
60,3,5.612,125.33,4,-45,14.976
60,3,5.849,104.59,4,65,14.648
60,3,6.082,-28.83,4,0,15.020
60,3,6.312,38.15,4,52,14.764
60,3,6.551,-63.46,4,-68,14.700
60,3,6.811,68.20,4,-50,14.964
60,3,7.031,-66.62,4,-57,14.876
60,3,7.292,6.33,4,-21,15.020
60,3,7.521,10.72,4,13,15.016
60,3,7.749,3.52,4,19,15.016
60,3,8.024,2.29,4,-23,15.016
60,3,8.245,-18.28,4,-51,14.952
60,3,8.471,-0.53,4,-50,14.956
60,3,8.711,2.29,4,-23,15.020
60,3,8.939,1.58,4,-23,15.020
60,3,9.166,-1.23,4,-51,14.952
60,3,9.406,-9.84,4,-50,14.960
60,3,9.647,-1.58,4,-53,14.928
60,3,9.879,0.18,4,-22,14.936
60,3,10.117,-5.10,4,-51,14.936
60,3,10.346,-4.75,4,-51,14.952
60,3,10.597,-0.18,4,-51,14.948
60,3,10.821,-4.39,4,-51,14.948
60,3,11.063,-3.69,4,-51,14.948
60,3,11.311,-1.58,4,-51,14.940
60,3,11.543,-4.75,4,-51,14.944
60,3,11.790,-1.93,4,-51,14.948
60,3,12.026,-3.52,4,-51,14.948
60,3,12.274,-3.16,4,-51,14.944
60,3,12.526,-2.81,4,-51,14.944
60,3,12.764,-3.52,4,-51,14.948
60,3,13.003,-2.81,4,-51,14.940
60,3,13.245,-3.34,4,-51,14.948
60,3,13.468,-2.99,4,-51,14.944
60,3,13.703,-3.16,4,-51,14.944
60,3,13.941,-2.99,4,-51,14.944
60,3,14.168,-3.16,4,-51,14.944
60,3,14.397,-3.16,4,-51,14.940
60,3,14.619,-3.16,4,-51,14.940
60,3,14.858,-3.16,4,-51,14.940
60,3,15.093,-2.99,4,-51,14.944
60,3,15.347,-3.16,4,-51,14.944
60,3,15.601,-3.16,4,-51,14.944
60,3,15.828,-3.16,4,-51,14.948
60,3,16.113,-3.16,4,-51,14.944
60,3,16.344,-3.16,4,-51,14.944
60,3,16.567,-3.16,4,-51,14.936
60,3,16.805,-3.16,4,-51,14.948
60,3,17.037,-3.16,4,-51,14.944
60,3,17.267,-3.16,4,-51,14.944
60,3,17.500,-3.16,4,-51,14.944
60,3,17.734,-3.16,4,-51,14.944
60,3,17.967,-3.16,4,-51,14.948
60,3,18.195,-3.16,4,-51,14.948
60,3,18.427,-3.16,4,-51,14.948
60,3,18.668,-3.16,4,-51,14.948
60,3,18.893,-3.16,4,-51,14.948
60,3,19.121,-3.16,4,-51,14.944
60,3,19.382,-3.16,4,-51,14.948
60,3,19.605,-3.16,4,-51,14.948
60,3,19.854,-3.16,4,-51,14.948
60,3,20.100,-3.16,4,-51,14.932
60,3,20.360,-3.16,4,-51,14.944
60,3,20.591,-3.16,4,-51,14.948
60,3,20.835,-3.16,4,-51,14.952
60,3,21.060,-2.99,4,-51,14.948
60,3,21.302,-3.16,4,-51,14.948
60,3,21.533,-2.99,4,-51,14.944
60,3,21.754,-3.16,4,-51,14.944
60,3,21.987,-2.99,4,-51,14.948
60,3,22.213,-3.16,4,-51,14.944
60,3,22.448,-3.16,4,-51,14.944
60,3,22.679,-3.16,4,-51,14.944
60,3,22.925,-3.16,4,-51,14.944
60,3,23.183,-2.99,4,-51,14.940
60,3,23.430,-3.16,4,-51,14.944
60,3,23.658,-3.16,4,-51,14.944
60,3,23.923,-3.16,4,-51,14.944
60,3,24.177,-3.16,4,-51,14.948
60,3,24.405,-3.16,4,-51,14.948
60,3,24.656,-3.16,4,-51,14.944
60,3,24.890,-3.16,4,-51,14.948
60,3,25.118,-3.16,4,-51,14.944
60,3,25.341,-3.16,4,-51,14.948
60,3,25.572,-3.16,4,-51,14.944
60,3,25.798,-3.16,4,-51,14.948
60,3,26.032,-3.16,4,-51,14.948
60,3,26.283,-3.16,4,-51,14.940
60,3,26.523,-3.16,4,-51,14.944
60,3,26.773,-3.16,4,-51,14.948
60,3,26.996,-3.16,4,-51,14.944
60,3,27.233,-3.16,4,-51,14.948
60,3,27.469,-3.16,4,-51,14.948
60,3,27.701,-3.16,4,-51,14.948
60,3,27.929,-3.16,4,-51,14.948
60,3,28.190,-3.16,4,-51,14.944
60,3,28.413,-3.16,4,-51,14.944
60,3,28.637,-3.16,4,-51,14.944
60,3,28.875,-3.16,4,-51,14.944
60,3,29.107,-3.16,4,-51,14.944
60,3,29.335,-3.16,4,-51,14.944
60,3,29.586,-3.16,4,-51,14.948
60,3,29.821,-3.16,4,-51,14.948
60,4,0.047,-20.04,5,59,14.736
60,4,0.303,52.56,5,-59,14.852
60,4,0.534,-56.60,5,-20,15.016
60,4,0.764,60.29,5,-59,14.864
60,4,1.003,-40.08,5,58,14.752
60,4,1.242,-63.46,5,-54,14.912
60,4,1.489,118.48,5,-59,14.860
60,4,1.717,-65.57,5,0,15.020
60,4,1.943,-121.64,5,-51,14.944
60,4,2.200,117.95,5,-59,14.844
60,4,2.429,109.34,5,-59,14.724
60,4,2.665,-109.86,5,-49,14.960
60,4,2.908,-75.94,5,-45,14.996
60,4,3.159,137.11,5,35,14.880
60,4,3.408,-50.27,5,-52,14.984
60,4,3.643,-105.47,5,-53,14.928
60,4,3.871,108.81,5,-58,14.872
60,4,4.102,84.73,5,59,14.732
60,4,4.327,-112.68,5,-45,14.988
60,4,4.592,60.12,5,-47,14.988
60,4,4.817,98.44,5,-49,14.968
60,4,5.054,-100.19,5,-50,14.976
60,4,5.306,43.95,5,-49,14.964
60,4,5.530,-49.04,5,-50,14.944
60,4,5.761,46.58,5,-48,14.980
60,4,6.008,-8.26,5,-44,14.992
60,4,6.252,0.88,5,-54,14.940
60,4,6.486,20.57,5,59,14.744
60,4,6.723,-88.94,5,-56,14.880
60,4,6.953,103.18,5,-59,14.844
60,4,7.175,6.68,5,59,14.776
60,4,7.432,-103.01,5,-51,14.940
60,4,7.659,107.23,5,59,14.852
60,4,7.886,72.25,5,59,14.732
60,4,8.129,-134.12,5,-51,14.944
60,4,8.362,-52.91,5,-51,14.968
60,4,8.598,143.61,5,-59,14.720
60,4,8.828,45.70,5,59,14.760
60,4,9.065,-140.27,5,-48,14.972
60,4,9.298,-26.54,5,-49,14.992
