t_s,position_deg,setpoint_deg,error_deg,pwm,current_ma,voltage_v,power_mw
1244.8570,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1244.8800,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1245.0540,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1245.0830,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1245.2930,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1245.3250,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1245.4520,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1245.5740,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1245.6440,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1245.7720,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1245.9770,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1246.0080,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1246.1820,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1246.2100,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1246.3900,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1246.4270,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1246.5910,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1246.6370,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1246.8000,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1246.8690,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1247.0000,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1247.1030,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1247.1770,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1247.3120,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1247.5160,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1247.5420,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1247.7170,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1247.7580,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1247.9390,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1247.9740,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1248.2030,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1248.2700,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1248.4440,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1248.4700,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1248.6440,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1248.6670,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1248.8440,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1248.8840,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1249.0540,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1249.0900,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1249.2880,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1249.3170,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1249.4060,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1249.5610,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1249.6680,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1249.8770,-24.0820,45.0000,69.0820,0.0000,0.0000,0.0000,0.0000
1249.9010,-24.0820,45.0000,69.0820,0.0000,0.0000,0.0000,0.0000
1250.0780,-24.0820,45.0000,69.0820,0.0000,0.0000,0.0000,0.0000
1250.1090,-24.0820,45.0000,69.0820,0.0000,0.0000,0.0000,0.0000
1250.2830,-24.0820,45.0000,69.0820,0.0000,0.0000,0.0000,0.0000
1250.3230,-24.0820,45.0000,69.0820,0.0000,0.0000,0.0000,0.0000
1250.4830,-24.0820,45.0000,69.0820,0.0000,0.0000,0.0000,0.0000
1250.5660,-24.0820,45.0000,69.0820,0.0000,0.0000,0.0000,0.0000
1250.7060,-24.0820,45.0000,69.0820,0.0000,0.0000,0.0000,0.0000
1250.7770,-24.0820,45.0000,69.0820,0.0000,0.0000,0.0000,0.0000
1250.9990,-24.0820,45.0000,69.0820,0.0000,0.0000,0.0000,0.0000
1251.0190,-24.0820,45.0000,69.0820,0.0000,0.0000,0.0000,0.0000
1251.2050,-24.0820,45.0000,69.0820,0.0000,0.0000,0.0000,0.0000
1251.2360,-24.0820,45.0000,69.0820,0.0000,0.0000,0.0000,0.0000
1251.4070,-24.0820,45.0000,69.0820,0.0000,0.0000,0.0000,0.0000
1251.4430,-24.0820,45.0000,69.0820,0.0000,0.0000,0.0000,0.0000
1251.6080,-24.0820,45.0000,69.0820,0.0000,0.0000,0.0000,0.0000
1251.6860,-24.0820,45.0000,69.0820,0.0000,0.0000,0.0000,0.0000
