t,theta,alpha,theta_dot,alpha_dot
13.366218566894531,-0.0798,0.2301,-0.0,-6.9852
13.428812503814697,-0.0798,0.0031,-0.0,-8.6121
13.477376461029053,-0.0798,-0.359,-0.0,-8.6211
13.55278754234314,-0.0798,-0.5246,-0.0,-3.5544
13.631210803985596,-0.0798,-0.3804,-0.0,4.7266
13.701268196105957,-0.0798,-0.0583,-0.0,8.8009
13.76331615447998,-0.0798,0.2915,-0.0,9.2262
13.859763622283936,-0.0798,0.5031,-0.0,2.5067
13.9706449508667,-0.0798,0.1197,-0.0,-8.2333
14.104685544967651,-0.0798,-0.4786,-0.0,-5.3815
14.177434206008911,-0.0798,-0.5062,-0.0,0.1371
14.27164602279663,-0.0798,-0.0982,0.0,8.3812
14.33601713180542,-0.0798,0.2424,0.0,8.4899
14.398571252822876,-0.0798,0.4663,0.0,5.0491
14.478399753570557,-0.0798,0.4142,0.0,-2.9056
14.556863069534302,-0.0798,0.1503,0.0,-7.3772
14.636513948440552,-0.0798,-0.2884,0.0,-8.5222
14.721374988555908,-0.0798,-0.4909,0.0,-4.5331
14.85050082206726,-0.0798,-0.1227,0.0,7.9527
14.907736539840698,-0.0798,0.0982,0.0,8.6302
14.97948956489563,-0.0798,0.4418,0.0,5.3126
15.043590307235718,-0.0828,0.4725,-0.0564,-0.0484
15.097698450088501,-0.0828,0.2945,-0.0028,-5.2359
15.168164014816284,-0.0828,-0.0491,-0.0001,-9.7674
15.252659320831299,-0.0798,-0.4264,0.1534,-6.5879
15.311688899993896,-0.0798,-0.5031,0.0076,-1.1324
15.396672248840332,-0.0798,-0.2792,0.0001,5.9854
15.467467308044434,-0.0798,0.0276,0.0,8.2292
15.538110494613647,-0.0828,0.3988,-0.1534,6.0583
15.60766315460205,-0.0828,0.4755,-0.0076,1.1773
15.66408920288086,-0.0828,0.3313,-0.0004,-4.7325
15.750674486160278,-0.0828,0.046,-0.0,-7.7818
15.807112216949463,-0.0828,-0.3559,-0.0,-7.4753
15.884674310684204,-0.0828,-0.4939,-0.0,-1.0678
15.949605703353882,-0.0828,-0.408,-0.0,3.181
16.01990556716919,-0.0828,-0.0491,-0.0,7.7039
16.095037937164307,-0.0828,0.2853,-0.0,8.1951
16.17051601409912,-0.0828,0.4694,-0.0,1.9906
16.23240065574646,-0.0828,0.3651,-0.0,-3.6162
16.297882080078125,-0.0828,0.0982,-0.0,-7.663
16.35779047012329,-0.0828,-0.2454,-0.0,-9.0668
16.42076563835144,-0.0828,-0.4541,-0.0,-4.8771
16.480427742004395,-0.0828,-0.4878,-0.0,-1.4747
16.55187749862671,-0.0828,-0.27,-0.0,5.9864
16.62995719909668,-0.0828,0.0368,-0.0,8.4588
16.703123569488525,-0.0828,0.3927,-0.0,5.7642
16.796480178833008,-0.0828,0.4295,-0.0,-1.0584
16.887299060821533,-0.0859,0.0123,-0.0028,-7.8362
16.972195625305176,-0.0828,-0.2945,0.1533,-7.7551
17.02177858352661,-0.0828,-0.4755,0.0076,-3.809
17.100658655166626,-0.0828,-0.4234,0.0004,2.1986
17.154016256332397,-0.0828,-0.1718,0.0,7.1877
17.212164640426636,-0.0828,0.1473,0.0,8.3821
17.286107063293457,-0.0828,0.3927,0.0,6.0307
17.340824842453003,-0.0828,0.451,0.0,0.7761
17.41173481941223,-0.0828,0.3037,0.0,-4.5793
17.47192406654358,-0.0828,0.0215,0.0,-7.5595
17.55309224128723,-0.0828,-0.359,0.0,-6.7014
17.610710859298706,-0.0828,-0.4755,0.0,-2.4791
17.6591956615448,-0.0828,-0.4418,0.0,1.1579
17.73833394050598,-0.0828,-0.1197,0.0,7.4864
17.803411960601807,-0.0828,0.1841,0.0,7.7526
17.866406202316284,-0.0828,0.405,0.0,5.1243
17.931284189224243,-0.0828,0.4357,0.0,0.0392
18.016164541244507,-0.0828,0.1718,0.0,-6.6439
18.07405734062195,-0.0828,-0.0245,0.0,-7.7107
18.162963390350342,-0.0828,-0.4387,0.0,-4.5851
18.272688150405884,-0.0828,-0.3283,0.0,4.362
18.34277844429016,-0.0828,-0.046,0.0,7.9109
18.452402353286743,-0.0828,0.3896,0.0,5.5685
18.522680521011353,-0.0828,0.4295,0.0,0.1593
18.586196660995483,-0.0828,0.2577,0.0,-5.184
18.654518604278564,-0.0828,-0.135,0.0,-7.5856
18.725771188735962,-0.0798,-0.3835,0.0564,-6.0374
18.789048433303833,-0.0798,-0.4571,0.0028,-1.1199
18.856537342071533,-0.0798,-0.3344,0.0001,4.0238
