t_s,position_deg,setpoint_deg,error_deg,pwm,current_ma,voltage_v,power_mw
297.5470,6.3280,45.0000,38.6720,-29.0000,0.0000,0.0000,0.0000
297.5880,6.5040,45.0000,38.4960,-28.0000,0.0000,0.0000,0.0000
297.7490,6.5040,45.0000,38.4960,-28.0000,0.0000,0.0000,0.0000
297.7910,6.5040,45.0000,38.4960,-28.0000,0.0000,0.0000,0.0000
297.9530,6.5040,45.0000,38.4960,-28.0000,0.0000,0.0000,0.0000
297.9930,6.5040,45.0000,38.4960,-28.0000,0.0000,0.0000,0.0000
298.1650,6.5040,45.0000,38.4960,-28.0000,0.0000,0.0000,0.0000
298.1970,6.5040,45.0000,38.4960,-28.0000,0.0000,0.0000,0.0000
298.3080,6.8550,90.0000,83.1450,-62.0000,0.0000,0.0000,0.0000
298.4740,20.2150,90.0000,69.7850,-48.0000,0.0000,0.0000,0.0000
298.5140,20.7420,90.0000,69.2580,-49.0000,0.0000,0.0000,0.0000
298.6850,28.4770,90.0000,61.5230,-42.0000,0.0000,0.0000,0.0000
298.7240,30.2340,90.0000,59.7660,-41.0000,0.0000,0.0000,0.0000
298.8820,30.9370,90.0000,59.0620,-45.0000,0.0000,0.0000,0.0000
298.9340,29.1800,90.0000,60.8200,-47.0000,0.0000,0.0000,0.0000
299.0900,27.5980,90.0000,62.4020,-47.0000,0.0000,0.0000,0.0000
299.1720,27.4220,90.0000,62.5780,-47.0000,0.0000,0.0000,0.0000
299.2970,27.5980,90.0000,62.4020,-46.0000,0.0000,0.0000,0.0000
299.3770,29.1800,90.0000,60.8200,-44.0000,0.0000,0.0000,0.0000
299.6020,29.8830,90.0000,60.1170,-45.0000,0.0000,0.0000,0.0000
299.6220,29.7070,90.0000,60.2930,-45.0000,0.0000,0.0000,0.0000
299.7990,28.8280,90.0000,61.1720,-46.0000,0.0000,0.0000,0.0000
299.8530,28.8280,90.0000,61.1720,-45.0000,0.0000,0.0000,0.0000
300.0110,29.0040,90.0000,60.9960,-45.0000,0.0000,0.0000,0.0000
300.0760,29.3550,90.0000,60.6450,-45.0000,0.0000,0.0000,0.0000
300.2650,29.5310,90.0000,60.4690,-45.0000,0.0000,0.0000,0.0000
300.3080,29.5310,90.0000,60.4690,-45.0000,0.0000,0.0000,0.0000
300.4270,29.5310,90.0000,60.4690,-45.0000,0.0000,0.0000,0.0000
300.4930,29.5310,90.0000,60.4690,-45.0000,0.0000,0.0000,0.0000
300.7120,29.5310,90.0000,60.4690,-45.0000,0.0000,0.0000,0.0000
