t,pend,servo,mode,pwm,v
29.757,0.7,-4.92,5,-17,14.77
29.852,3.16,-4.22,5,-34,14.78
29.934,0.18,-5.27,5,19,14.76
30.008,-1.58,-5.45,5,35,14.77
30.083,-2.81,-5.8,5,35,14.72
30.16,-1.58,-6.15,5,-16,14.78
30.24,1.93,-4.75,5,-17,14.77
30.321,3.34,-4.57,5,-34,14.76
30.4,1.41,-5.27,5,19,14.75
30.473,-1.05,-5.62,5,19,14.77
30.555,-2.46,-5.45,5,19,14.74
30.63,-2.46,-5.98,5,-33,14.76
30.702,0.35,-5.1,5,-17,14.76
30.817,2.99,-4.39,5,-34,14.77
30.902,1.23,-5.1,5,19,14.76
31.001,-1.23,-5.45,5,19,14.75
31.097,-2.81,-5.98,5,19,14.74
31.181,-0.53,-5.8,5,-17,14.76
31.259,2.64,-4.57,5,-17,14.78
31.357,2.64,-4.92,5,-34,14.77
31.434,0.35,-5.45,5,19,14.77
31.523,-1.76,-5.45,5,35,14.74
31.593,-2.99,-5.98,5,35,14.74
31.673,-1.23,-5.8,5,-17,14.76
31.752,2.46,-4.57,5,-17,14.77
31.845,2.99,-4.75,5,-34,14.78
31.935,0.18,-5.45,5,19,14.77
32.022,-1.76,-5.45,5,19,14.73
32.104,-2.99,-5.98,5,35,14.75
32.202,-0.53,-5.62,5,-17,14.77
32.29,3.16,-4.22,5,-34,14.77
32.383,1.76,-4.92,5,19,14.77
32.455,-0.35,-5.27,5,35,14.76
32.527,-1.93,-5.27,5,35,14.76
32.627,-2.99,-6.15,5,-33,14.76
32.707,0.35,-5.1,5,-17,14.76
32.78,3.16,-4.22,5,-17,14.78
32.895,2.29,-4.75,5,19,14.76
32.971,-0.88,-5.27,5,19,14.77
33.052,-2.29,-5.45,5,35,14.74
33.132,-2.81,-6.15,5,-16,14.76
33.215,1.05,-4.92,5,-17,14.77
33.302,3.34,-4.39,5,-34,14.76
33.378,2.11,-4.92,5,19,14.77
33.457,-0.53,-5.45,5,35,14.7
33.542,-2.29,-5.45,5,19,14.76
33.623,-2.64,-5.8,5,-33,14.77
33.693,-0.18,-5.1,5,-17,14.77
33.768,2.46,-4.22,5,-34,14.77
33.843,2.46,-4.39,5,19,14.77
33.936,0.18,-5.27,5,19,14.75
34.019,-1.76,-5.45,5,35,14.77
34.096,-2.81,-6.15,5,18,14.74
34.167,-1.23,-6.33,5,-16,14.77
34.255,2.64,-5.1,5,-33,14.77
34.327,3.34,-5.1,5,-33,14.78
34.399,1.41,-5.8,5,19,14.76
34.487,-1.05,-5.8,5,19,14.77
34.576,-2.46,-5.62,5,35,14.77
34.66,-2.11,-5.98,5,-33,14.78
34.739,1.58,-4.57,5,-17,14.76
34.835,2.99,-4.22,5,-34,14.69
34.918,0.88,-5.1,5,19,14.77
35.003,-1.41,-5.27,5,19,14.7
35.083,-2.64,-5.8,5,35,14.76
35.156,-1.76,-6.15,5,-16,14.77
