t_s,alpha_deg,theta_deg,pwm
5.7924,0.176,45.0,0
5.8593,0.703,45.0,0
5.9256,0.879,45.0,0
6.0095,0.703,45.0,0
6.0712,0.176,45.0,0
6.1246,-0.352,45.0,0
6.1859,-0.703,45.0,0
6.2557,-0.527,45.0,0
6.3594,0.0,45.0,0
6.4465,0.703,45.0,0
6.5302,0.703,45.0,0
6.5931,0.527,45.0,0
6.6609,0.0,45.0,0
6.731,-0.527,45.0,0
6.8018,-0.703,45.0,0
6.8755,-0.352,45.0,0
6.9294,0.0,45.0,0
6.9916,0.527,45.0,0
7.0574,0.703,45.0,0
7.1381,0.527,45.0,0
7.2224,-0.176,45.0,0
7.3252,-0.527,45.0,0
7.4189,-0.527,45.0,0
7.4903,0.0,45.0,0
7.5588,0.352,45.0,0
7.6207,0.527,45.0,0
7.6876,0.527,45.0,0
7.7528,0.176,45.0,0
7.8187,0.0,45.0,0
7.9014,-0.352,45.0,0
7.9716,-0.352,45.0,0
8.0552,0.0,45.0,0
8.127,0.176,45.0,0
8.1828,0.527,45.0,0
8.2532,0.527,45.0,0
8.316,0.176,45.0,0
8.3799,0.0,45.0,0
8.4587,-0.176,45.0,0
8.5297,-0.352,45.0,0
8.5875,-0.176,45.0,0
8.651,0.0,45.0,0
8.7218,0.176,45.0,0
8.8026,0.352,45.0,0
8.8611,0.352,45.0,0
8.9279,0.176,45.0,0
8.9908,0.0,45.0,0
9.0537,-0.176,45.0,0
9.1105,-0.176,45.0,0
9.1654,-0.176,45.0,0
9.2243,0.176,45.0,0
9.3362,0.176,45.0,0
9.4042,0.176,45.0,0
9.4899,0.0,45.0,0
9.5817,0.0,45.0,0
9.6431,-0.176,45.0,0
9.7159,0.0,45.0,0
9.7877,0.0,45.0,0
9.862,0.176,45.0,0
9.9298,0.176,45.0,0
9.9977,0.176,45.0,0
10.0619,0.0,45.0,0
10.1308,0.0,45.0,0
10.1936,0.0,45.0,0
10.2621,0.0,45.0,0
10.323,0.0,45.0,0
10.3818,0.0,45.0,0
10.4496,0.0,45.0,0
10.503,0.0,45.0,0
10.5758,0.0,45.0,0
10.6656,0.0,45.0,0
10.7225,0.0,45.0,0
10.7813,0.0,45.0,0
10.8516,0.0,45.0,0
10.9264,0.0,45.0,0
11.0142,0.0,45.0,0
11.085,0.0,45.0,0
11.1469,0.0,45.0,0
11.2289,0.0,45.0,0
11.3012,0.0,45.0,0
11.375,0.0,45.0,0
11.4658,0.0,45.0,0
11.5238,0.0,45.0,0
11.617,0.0,45.0,0
11.6777,0.0,45.0,0
11.7446,0.0,45.0,0
11.8114,0.0,45.0,0
11.9027,0.0,45.0,0
11.9875,0.0,45.0,0
12.065,0.0,45.0,0
12.1378,0.0,45.0,0
12.2136,0.0,45.0,0
12.2844,0.0,45.0,0
12.3637,0.0,45.0,0
12.4266,0.0,45.0,0
12.4924,0.0,45.0,0
12.5657,0.0,45.0,0
12.6315,0.0,45.0,0
12.6894,0.0,45.0,0
12.7564,0.0,45.0,0
12.8536,0.0,45.0,0
12.9105,0.0,45.0,0
12.9693,0.0,45.0,0
13.0418,0.0,45.0,0
13.0988,0.0,45.0,0
13.1656,0.0,45.0,0
13.2314,0.0,45.0,0
13.292,0.0,45.0,0
13.3648,0.0,45.0,0
13.4315,0.0,45.0,0
13.4946,0.0,45.0,0
13.5847,0.0,45.0,0
13.6598,0.0,45.0,0
13.7267,0.0,45.0,0
13.7895,0.0,45.0,0
13.8942,0.0,45.0,0
13.968,0.0,45.0,0
14.0289,0.0,45.0,0
14.1126,0.0,45.0,0
14.1725,0.0,45.0,0
14.2433,0.0,45.0,0
14.3406,0.0,45.0,0
14.4114,0.0,45.0,0
14.4722,0.0,45.0,0
14.5366,0.0,45.0,0
14.6105,0.0,45.0,0
14.6872,0.0,45.0,0
14.7471,0.0,45.0,0
14.8069,0.0,45.0,0
14.8704,0.0,45.0,0
14.9303,0.0,45.0,0
14.9894,0.0,45.0,0
15.0706,0.0,45.0,0
15.1317,0.0,45.0,0
15.1995,0.0,45.0,0
15.2753,0.0,45.0,0
15.344,0.0,45.0,0
15.4079,0.0,45.0,0
15.4981,0.0,45.0,0
15.5854,0.0,45.0,0
15.6612,0.0,45.0,0
15.7187,0.0,45.0,0
15.7894,0.0,45.0,0
15.8472,0.0,45.0,0
15.9109,0.0,45.0,0
15.9756,0.0,45.0,0
16.0294,0.0,45.0,0
16.1222,0.0,45.0,0
16.186,0.0,45.0,0
16.2479,0.0,45.0,0
16.3168,0.0,45.0,0
16.3965,0.0,45.0,0
16.4753,0.0,45.0,0
16.5376,0.0,45.0,0
16.6229,0.0,45.0,0
16.6847,0.0,45.0,0
16.7455,0.0,45.0,0
16.8173,0.0,45.0,0
16.8917,0.0,45.0,0
16.953,0.0,45.0,0
17.0129,0.0,45.0,0
17.0737,0.0,45.0,0
17.1365,0.0,45.0,0
17.1954,0.0,45.0,0
17.2592,0.0,45.0,0
17.333,0.0,45.0,0
17.3948,0.0,45.0,0
17.4587,0.0,45.0,0
17.5445,0.0,45.0,0
17.6415,0.0,45.0,0
17.7033,0.0,45.0,0
17.7692,0.0,45.0,0
17.837,0.0,45.0,0
17.9048,0.0,45.0,0
17.9796,0.0,45.0,0
18.0394,0.0,45.0,0
18.1217,0.0,45.0,0
18.1935,0.0,45.0,0
18.2663,0.0,45.0,0
18.3305,0.0,45.0,0
18.3883,0.0,45.0,0
18.4502,0.0,45.0,0
18.522,0.0,45.0,0
18.6038,0.0,45.0,0
18.6637,0.0,45.0,0
18.7225,0.0,45.0,0
18.7869,0.0,45.0,0
18.8507,0.0,45.0,0
18.9395,0.0,45.0,0
19.0208,0.0,45.0,0
19.0926,0.0,45.0,0
19.1535,0.0,45.0,0
19.2183,0.0,45.0,0
19.2812,0.0,45.0,0
19.375,0.0,45.0,0
19.4517,0.0,45.0,0
19.5435,0.0,45.0,0
19.6194,0.0,45.0,0
19.6967,0.0,45.0,0
19.782,0.0,45.0,0
19.8728,0.0,45.0,0
19.9441,0.0,45.0,0
