attempt,t,pend_deg,mode,pwm,v_bus
4,12.173,58.53,5,59,0.000
4,12.405,-54.67,5,-55,0.000
4,12.659,65.92,5,59,0.000
4,12.882,-57.13,5,-55,0.000
4,13.128,66.27,5,59,0.000
4,13.370,-55.90,5,-55,0.000
4,13.598,67.15,5,59,0.000
4,13.837,-56.78,5,-55,0.000
4,14.086,68.03,5,59,0.000
4,14.313,-55.02,5,-55,0.000
4,14.550,57.48,5,55,0.000
4,14.790,-39.55,5,-56,0.000
4,15.062,49.22,5,26,0.000
4,15.306,-47.46,5,-55,0.000
4,15.535,43.24,5,0,0.000
4,15.758,-24.26,5,-57,0.000
4,15.992,13.71,5,-59,0.000
4,16.232,4.92,5,8,0.000
4,16.477,2.99,5,-58,0.000
4,16.731,12.66,5,19,0.000
4,16.964,-12.83,5,-58,0.000
4,17.194,45.00,5,59,0.000
4,17.418,-43.42,5,-56,0.000
4,17.681,51.33,5,59,0.000
4,17.921,-42.89,5,-56,0.000
4,18.166,53.79,5,59,0.000
4,18.388,-55.37,5,-55,0.000
4,18.619,69.08,5,59,0.000
4,18.865,-58.53,5,-55,0.000
4,19.128,67.68,5,59,0.000
4,19.353,-58.18,5,-55,0.000
4,19.586,64.86,5,59,0.000
4,19.832,-56.60,5,-55,0.000
4,20.081,66.27,5,59,0.000
4,20.330,-56.78,5,-55,0.000
4,20.577,63.81,5,59,0.000
4,20.805,-47.46,5,-55,0.000
4,21.076,63.63,5,59,0.000
4,21.388,-55.72,5,-55,0.000
4,21.670,52.03,5,59,0.000
4,21.907,-47.99,5,-55,0.000
4,22.212,24.26,5,59,0.000
4,22.487,8.96,5,-59,0.000
4,22.710,26.02,5,59,0.000
4,22.937,-35.86,5,-56,0.000
4,23.191,42.19,5,59,0.000
4,23.429,-41.31,5,-56,0.000
4,23.682,45.88,5,59,0.000
4,23.915,-46.76,5,-55,0.000
4,24.140,64.69,5,59,0.000
4,24.370,-58.53,5,-55,0.000
4,24.626,67.85,5,59,0.000
4,24.852,-58.89,5,-55,0.000
4,25.073,64.51,5,59,0.000
4,25.335,-54.49,5,-55,0.000
4,25.580,64.16,5,59,0.000
4,25.805,-47.28,5,-55,0.000
4,26.045,52.03,5,36,0.000
4,26.278,-36.39,5,-56,0.000
4,26.513,25.49,5,-59,0.000
4,26.747,-1.76,5,-19,0.000
4,26.973,-5.80,5,-58,0.000
4,27.218,21.27,5,50,0.000
4,27.464,-27.60,5,-57,0.000
4,27.699,38.67,5,59,0.000
4,27.946,-27.25,5,-57,0.000
4,28.177,49.75,5,59,0.000
4,28.406,-49.75,5,-55,0.000
4,28.647,62.40,5,59,0.000
4,28.888,-55.72,5,-55,0.000
4,29.164,59.24,5,59,0.000
4,29.473,-8.26,5,-58,0.000
4,29.704,34.28,5,59,0.000
4,29.950,-23.91,5,-57,0.000
5,0.024,-12.48,5,59,0.000
5,0.266,39.55,5,-59,0.000
5,0.512,-37.27,5,59,0.000
5,0.775,29.00,5,-59,0.000
5,1.017,23.03,5,59,0.000
5,1.249,-77.69,5,-53,0.000
5,1.490,107.05,5,59,0.000
5,1.741,-37.27,5,-55,0.000
5,2.000,26.02,5,59,0.000
5,2.238,-28.65,5,-58,0.000
5,2.487,38.67,5,59,0.000
5,2.718,-49.57,5,-57,0.000
5,2.963,68.20,5,59,0.000
5,3.185,-76.64,5,-55,0.000
5,3.422,58.36,5,33,0.000
5,3.661,-7.21,5,-58,0.000
5,3.901,-2.29,5,-57,0.000
5,4.183,9.67,5,-58,0.000
5,4.449,22.85,5,13,0.000
5,4.677,-42.19,5,-57,0.000
5,4.913,51.33,5,53,0.000
5,5.149,-53.26,5,-57,0.000
5,5.395,51.68,5,-16,0.000
5,5.645,-18.98,5,-57,0.000
5,5.875,-11.60,5,-57,0.000
5,6.108,47.81,5,59,0.000
5,6.331,-41.84,5,-56,0.000
5,6.573,39.55,5,59,0.000
5,6.817,-26.02,5,-57,0.000
5,7.050,38.85,5,59,0.000
5,7.285,-47.11,5,-56,0.000
5,7.533,64.69,5,59,0.000
5,7.753,-64.69,5,-54,0.000
5,7.981,72.60,5,59,0.000
5,8.203,-44.47,5,-55,0.000
5,8.470,57.13,5,59,0.000
5,8.772,-50.45,5,-56,0.000
5,9.070,31.64,5,59,0.000
5,9.302,-43.95,5,-56,0.000
5,9.528,66.27,5,59,0.000
5,9.809,-53.79,5,-55,0.000
5,10.040,68.91,5,59,0.000
5,10.317,-43.42,5,-56,0.000
5,10.551,56.25,5,59,0.000
5,10.791,-48.16,5,-56,0.000
5,11.049,50.62,5,59,0.000
5,11.285,-48.34,5,-56,0.000
5,11.522,67.50,5,59,0.000
5,11.750,-61.70,5,-55,0.000
5,11.983,71.02,5,59,0.000
5,12.201,-51.33,5,-55,0.000
5,12.448,58.53,5,59,0.000
5,12.702,-50.27,5,-55,0.000
5,12.956,58.53,5,59,0.000
5,13.181,-45.18,5,-56,0.000
5,13.424,52.91,5,36,0.000
5,13.691,-50.45,5,-55,0.000
5,13.936,56.60,5,50,0.000
5,14.191,-38.67,5,-56,0.000
5,14.441,55.55,5,59,0.000
5,14.671,-35.51,5,-56,0.000
5,14.926,45.70,5,18,0.000
5,15.157,-33.40,5,-57,0.000
5,15.400,20.74,5,-59,0.000
5,15.636,-6.68,5,-23,0.000
5,15.864,2.11,5,-58,0.000
5,16.097,31.99,5,59,0.000
5,16.324,-36.39,5,-56,0.000
5,16.592,31.64,5,59,0.000
5,16.866,-3.52,5,-58,0.000
5,17.102,21.80,5,55,0.000
5,17.327,-29.88,5,-56,0.000
5,17.578,41.84,5,59,0.000
5,17.827,-31.64,5,-56,0.000
5,18.071,45.70,5,59,0.000
5,18.319,-35.68,5,-56,0.000
5,18.601,27.77,5,59,0.000
5,18.843,-18.98,5,-57,0.000
5,19.066,49.40,5,59,0.000
5,19.301,-44.82,5,-56,0.000
5,19.547,59.41,5,59,0.000
5,19.794,-49.75,5,-55,0.000
5,20.055,61.70,5,59,0.000
5,20.289,-53.26,5,-55,0.000
5,20.534,64.51,5,59,0.000
5,20.784,-52.56,5,-55,0.000
5,21.011,67.85,5,59,0.000
5,21.235,-58.18,5,-55,0.000
5,21.476,66.27,5,59,0.000
5,21.769,-55.90,5,-55,0.000
5,22.013,67.50,5,59,0.000
5,22.253,-58.89,5,-55,0.000
5,22.483,68.38,5,59,0.000
5,22.732,-58.18,5,-55,0.000
5,23.012,67.68,5,59,0.000
5,23.239,-58.71,5,-55,0.000
5,23.476,67.68,5,59,0.000
5,23.728,-57.66,5,-55,0.000
5,23.955,62.93,5,59,0.000
5,24.197,-44.30,5,-56,0.000
5,24.437,50.27,5,34,0.000
5,24.675,-42.01,5,-56,0.000
5,24.902,32.34,5,-41,0.000
5,25.153,-22.68,5,-57,0.000
5,25.398,31.29,5,-42,0.000
5,25.649,-16.70,5,-58,0.000
5,25.889,18.81,5,-59,0.000
5,26.219,-54.67,5,-55,0.000
5,26.440,58.01,5,59,0.000
5,26.682,-45.18,5,-56,0.000
5,26.919,47.11,5,18,0.000
5,27.162,-34.28,5,-56,0.000
5,27.410,40.96,5,-7,0.000
5,27.653,-25.31,5,-57,0.000
5,27.878,13.71,5,-59,0.000
5,28.113,11.43,5,27,0.000
5,28.349,-22.50,5,-57,0.000
5,28.597,29.71,5,59,0.000
5,28.840,-21.45,5,-57,0.000
5,29.091,32.70,5,59,0.000
5,29.333,-38.32,5,-56,0.000
5,29.561,51.33,5,59,0.000
5,29.787,-53.09,5,-55,0.000
5,30.013,67.85,5,59,0.000
6,0.110,14.94,5,26,0.000
6,0.432,-7.91,5,-59,0.000
6,0.657,55.20,5,26,0.000
6,0.920,-82.09,5,-58,0.000
6,1.185,72.25,5,56,0.000
6,1.419,-84.38,5,-54,0.000
6,1.641,61.35,5,-59,0.000
6,1.881,56.07,5,-53,0.000
6,2.115,-61.35,5,-56,0.000
6,2.343,27.42,5,59,0.000
6,2.565,-14.59,5,-59,0.000
6,2.805,-19.16,5,47,0.000
6,3.029,8.96,5,-58,0.000
6,3.259,49.75,5,59,0.000
6,3.481,-73.12,5,-56,0.000
6,3.806,51.15,5,59,0.000
6,4.050,-59.59,5,-55,0.000
6,4.285,75.06,5,59,0.000
6,4.519,-48.69,5,-54,0.000
6,4.741,55.02,5,59,0.000
6,4.975,-49.40,5,-57,0.000
6,5.249,45.00,5,59,0.000
6,5.469,-64.16,5,-56,0.000
6,5.703,80.51,5,59,0.000
6,5.939,-59.94,5,-54,0.000
6,6.165,49.40,5,8,0.000
6,6.406,-18.46,5,-57,0.000
6,6.632,10.02,5,-59,0.000
6,6.893,-29.53,5,-58,0.000
6,7.137,43.95,5,22,0.000
6,7.364,-31.29,5,-58,0.000
6,7.589,13.54,5,-59,0.000
6,7.816,39.55,5,59,0.000
6,8.046,-45.35,5,-55,0.000
6,8.271,68.73,5,59,0.000
6,8.612,3.52,5,-59,0.000
6,8.864,-10.37,5,-39,0.000
6,9.135,39.02,5,-11,0.000
6,9.372,-31.46,5,-57,0.000
6,9.658,48.87,5,5,0.000
6,9.883,-31.82,5,-57,0.000
6,10.152,45.88,5,11,0.000
6,10.389,-20.04,5,-57,0.000
6,10.613,7.73,5,-59,0.000
6,10.857,-1.23,5,-11,0.000
6,11.086,-8.26,5,-58,0.000
6,11.349,13.18,5,37,0.000
6,11.579,-14.41,5,-58,0.000
6,11.806,43.24,5,59,0.000
6,12.047,-36.56,5,-56,0.000
6,12.279,61.00,5,59,0.000
6,12.516,-53.09,5,-55,0.000
6,12.739,67.85,5,59,0.000
6,13.027,-48.16,5,-55,0.000
6,13.261,61.35,5,59,0.000
6,13.520,-47.64,5,-56,0.000
6,13.745,66.62,5,59,0.000
6,13.970,-59.59,5,-55,0.000
6,14.210,69.26,5,59,0.000
6,14.467,-57.83,5,-55,0.000
6,14.714,68.03,5,59,0.000
6,14.938,-53.26,5,-55,0.000
6,15.163,52.73,5,48,0.000
6,15.402,-41.13,5,-56,0.000
6,15.639,33.93,5,-31,0.000
6,15.875,-18.63,5,-58,0.000
6,16.125,25.84,5,-59,0.000
6,16.358,1.05,5,-12,0.000
6,16.589,-11.78,5,-58,0.000
6,16.825,37.44,5,59,0.000
6,17.051,-33.05,5,-56,0.000
6,17.316,35.33,5,59,0.000
6,17.561,-32.87,5,-57,0.000
6,17.809,41.13,5,59,0.000
6,18.038,-41.84,5,-56,0.000
6,18.278,61.70,5,59,0.000
6,18.501,-56.07,5,-55,0.000
6,18.737,68.73,5,59,0.000
6,18.973,-58.01,5,-55,0.000
6,19.200,64.34,5,59,0.000
6,19.459,-56.78,5,-55,0.000
6,19.681,62.93,5,59,0.000
6,19.910,-45.18,5,-56,0.000
6,20.133,36.39,5,-19,0.000
6,20.380,-24.43,5,-57,0.000
6,20.633,34.63,5,-28,0.000
6,20.857,-1.23,5,-21,0.000
6,21.104,8.61,5,-59,0.000
6,21.420,-48.87,5,-56,0.000
6,21.648,48.69,5,19,0.000
6,21.899,-39.20,5,-56,0.000
6,22.124,31.82,5,-44,0.000
6,22.364,-11.43,5,-53,0.000
6,22.635,28.12,5,-52,0.000
6,22.868,-10.02,5,-58,0.000
6,23.145,39.38,5,0,0.000
6,23.374,-19.51,5,-58,0.000
6,23.609,15.64,5,-59,0.000
6,23.829,18.81,5,59,0.000
6,24.074,-17.75,5,-57,0.000
6,24.299,54.67,5,59,0.000
6,24.557,-43.77,5,-56,0.000
6,24.781,57.30,5,59,0.000
6,25.013,-51.15,5,-55,0.000
6,25.252,64.16,5,59,0.000
6,25.539,-44.65,5,-56,0.000
