t,pend,servo,mode,pwm,v
17.154,-2.29,-7.03,5,-25,14.76
17.229,1.41,-6.15,5,-26,14.76
17.306,3.87,-5.45,5,-33,14.76
17.375,2.64,-5.98,5,28,14.76
17.455,-0.88,-6.86,5,29,14.76
17.526,-2.81,-6.86,5,35,14.75
17.595,-3.16,-6.86,5,35,14.74
17.682,-1.41,-7.03,5,-25,14.76
17.761,2.99,-5.45,5,-26,14.76
17.844,3.69,-5.1,5,-33,14.76
17.923,0.53,-6.15,5,35,14.75
18.018,-2.64,-6.68,5,35,14.74
18.107,-3.34,-6.68,5,35,14.74
18.188,-0.35,-6.33,5,-26,14.76
18.267,3.34,-5.1,5,-26,14.76
18.365,2.99,-5.27,5,28,14.76
18.444,-1.05,-6.5,5,28,14.75
18.513,-2.64,-6.33,5,35,14.74
18.597,-3.16,-6.68,5,35,14.74
18.701,-1.05,-6.86,5,-25,14.77
18.785,3.87,-5.27,5,-26,14.76
18.878,2.81,-5.62,5,28,14.76
18.968,-1.41,-6.68,5,29,14.75
19.052,-2.81,-6.5,5,35,14.74
19.135,-2.81,-6.86,5,35,14.74
19.211,0.35,-6.33,5,-26,14.76
19.288,3.69,-5.27,5,-26,14.76
19.367,2.81,-5.62,5,28,14.76
19.451,-0.35,-6.5,5,28,14.76
19.543,-2.81,-6.5,5,28,14.75
19.612,-2.99,-6.68,5,35,14.73
19.685,-1.05,-6.5,5,-25,14.76
19.767,2.99,-5.1,5,-26,14.77
19.867,3.16,-5.1,5,28,14.76
19.939,-0.53,-6.33,5,28,14.76
20.017,-2.46,-6.33,5,35,14.74
20.106,-3.16,-6.86,5,35,14.74
20.2,-0.88,-6.86,5,-25,14.76
20.274,3.52,-5.45,5,-26,14.76
20.356,3.34,-5.62,5,28,14.76
20.439,-0.18,-6.68,5,29,14.75
20.518,-2.81,-6.86,5,35,14.74
20.595,-3.34,-7.03,5,35,14.74
20.682,-1.58,-7.21,5,-25,14.76
20.76,3.16,-5.45,5,-26,14.76
20.835,3.69,-5.45,5,28,14.76
20.923,0.53,-6.5,5,28,14.75
21.022,-2.81,-6.86,5,29,14.76
21.095,-3.16,-6.68,5,35,14.74
21.171,-1.58,-7.03,5,-25,14.76
21.243,2.29,-5.8,5,-26,14.76
21.331,3.69,-5.27,5,-33,14.76
21.416,1.23,-6.15,5,28,14.77
21.493,-1.93,-6.68,5,29,14.75
21.564,-2.81,-6.33,5,35,14.74
21.646,-2.64,-6.86,5,-25,14.76
