t_ms,mode,pwm,servo_count,servo_deg,pend_count,pend_raw_deg,pend_deg,ina_ok,v_bus,i_ma,p_mw
12103,5,0,0,0.0,0,0.0,0.0,True,14.672,27.5,404.0
12275,5,0,0,0.0,0,0.0,0.0,True,14.68,26.1,384.0
12490,5,0,0,0.0,0,0.0,0.0,True,14.676,27.2,400.0
12684,5,0,0,0.0,0,0.0,0.0,True,14.672,27.7,406.0
12903,5,0,0,0.0,0,0.0,0.0,True,14.676,27.9,410.0
13104,5,0,0,0.0,0,0.0,0.0,True,14.676,26.7,394.0
13225,5,0,0,0.0,0,0.0,0.0,True,14.672,26.1,384.0
13367,5,0,0,0.0,0,0.0,0.0,True,14.676,26.0,380.0
13608,5,0,0,0.0,0,0.0,0.0,True,14.68,28.8,422.0
13813,5,0,0,0.0,0,0.0,0.0,True,14.676,27.5,404.0
14044,5,0,0,0.0,0,0.0,0.0,True,14.644,29.7,436.0
14183,5,0,0,0.0,0,0.0,0.0,True,14.676,27.7,406.0
14324,5,0,0,0.0,0,0.0,0.0,True,14.676,28.2,412.0
14454,5,0,0,0.0,0,0.0,0.0,True,14.676,27.4,404.0
14576,5,0,0,0.0,0,0.0,0.0,True,14.676,28.9,422.0
14701,5,0,0,0.0,0,0.0,0.0,True,14.676,26.7,394.0
14976,5,0,0,0.0,0,0.0,0.0,True,14.68,27.3,400.0
15209,5,0,0,0.0,0,0.0,0.0,True,14.672,26.4,386.0
15451,5,0,0,0.0,0,0.0,0.0,True,14.676,26.9,394.0
15654,5,0,0,0.0,0,0.0,0.0,True,14.676,27.4,404.0
15862,5,0,0,0.0,0,0.0,0.0,True,14.672,28.4,416.0
16077,5,0,0,0.0,0,0.0,0.0,True,14.68,27.5,404.0
16299,5,0,0,0.0,0,0.0,0.0,True,14.68,28.1,412.0
16420,5,0,0,0.0,0,0.0,0.0,True,14.676,26.1,384.0
16576,5,0,0,0.0,0,0.0,0.0,True,14.676,27.4,404.0
16704,5,0,0,0.0,0,0.0,0.0,True,14.672,27.5,404.0
16828,5,0,0,0.0,0,0.0,0.0,True,14.676,27.7,406.0
16967,5,0,0,0.0,0,0.0,0.0,True,14.676,26.3,386.0
17101,5,0,0,0.0,0,0.0,0.0,True,14.672,26.4,386.0
17225,5,0,0,0.0,0,0.0,0.0,True,14.676,27.1,396.0
17369,5,0,0,0.0,0,0.0,0.0,True,14.676,27.2,400.0
17525,5,0,0,0.0,0,0.0,0.0,True,14.672,27.5,404.0
17664,5,0,0,0.0,0,0.0,0.0,True,14.672,27.7,406.0
17807,5,0,0,0.0,0,0.0,0.0,True,14.672,27.5,404.0
17935,5,0,0,0.0,0,0.0,0.0,True,14.68,27.6,406.0
18067,5,0,0,0.0,0,0.0,0.0,True,14.676,26.3,386.0
18216,5,0,0,0.0,0,0.0,0.0,True,14.672,27.9,390.0
18338,5,0,0,0.0,0,0.0,0.0,True,14.676,28.5,420.0
18474,5,0,0,0.0,0,0.0,0.0,True,14.68,26.6,390.0
18632,5,0,0,0.0,0,0.0,0.0,True,14.676,28.1,412.0
18759,5,0,0,0.0,0,0.0,0.0,True,14.676,27.5,404.0
18883,5,0,0,0.0,0,0.0,0.0,True,14.668,28.5,420.0
19034,5,0,0,0.0,0,0.0,0.0,True,14.676,28.3,416.0
19177,5,0,0,0.0,0,0.0,0.0,True,14.68,26.6,390.0
19355,5,0,0,0.0,0,0.0,0.0,True,14.68,26.7,394.0
19498,5,0,0,0.0,0,0.0,0.0,True,14.672,26.8,394.0
19640,5,0,0,0.0,0,0.0,0.0,True,14.672,27.5,404.0
19766,5,0,0,0.0,0,0.0,0.0,True,14.676,27.3,400.0
19889,5,0,0,0.0,0,0.0,0.0,True,14.676,28.1,412.0
20026,5,0,0,0.0,0,0.0,0.0,True,14.672,26.4,386.0
20160,5,0,0,0.0,0,0.0,0.0,True,14.676,27.0,396.0
20281,5,0,0,0.0,0,0.0,0.0,True,14.676,27.2,400.0
20436,5,0,0,0.0,0,0.0,0.0,True,14.68,26.8,394.0
20572,5,0,0,0.0,0,0.0,0.0,True,14.676,26.5,390.0
20756,5,0,0,0.0,0,0.0,0.0,True,14.676,28.2,412.0
20884,5,0,0,0.0,0,0.0,0.0,True,14.68,26.0,380.0
21041,5,0,0,0.0,0,0.0,0.0,True,14.68,26.5,390.0
21194,5,0,0,0.0,0,0.0,0.0,True,14.672,28.1,412.0
21319,5,0,0,0.0,0,0.0,0.0,True,14.684,26.5,390.0
21471,5,0,0,0.0,0,0.0,0.0,True,14.68,27.2,400.0
21722,5,0,0,0.0,0,0.0,0.0,True,14.672,26.6,390.0
21860,5,0,0,0.0,0,0.0,0.0,True,14.676,27.9,410.0
22005,5,0,0,0.0,0,0.0,0.0,True,14.676,27.6,406.0
22155,5,0,0,0.0,0,0.0,0.0,True,14.676,27.0,396.0
22302,5,0,0,0.0,0,0.0,0.0,True,14.668,28.7,422.0
22442,5,0,0,0.0,0,0.0,0.0,True,14.672,29.1,390.0
22572,5,0,0,0.0,0,0.0,0.0,True,14.676,26.5,390.0
22730,5,0,0,0.0,0,0.0,0.0,True,14.676,25.5,374.0
22861,5,0,0,0.0,0,0.0,0.0,True,14.68,27.5,404.0
22980,5,0,0,0.0,0,0.0,0.0,True,14.66,29.7,400.0
23146,5,0,0,0.0,0,0.0,0.0,True,14.676,27.2,400.0
23268,5,0,0,0.0,0,0.0,0.0,True,14.676,27.4,404.0
23390,5,0,0,0.0,0,0.0,0.0,True,14.676,26.4,386.0
23543,5,0,0,0.0,0,0.0,0.0,True,14.672,26.5,390.0
23672,5,0,0,0.0,0,0.0,0.0,True,14.68,26.9,394.0
23796,5,0,0,0.0,0,0.0,0.0,True,14.68,26.4,386.0
